userID	itemID	label
1217	289	1
1648	7756	0
596	1112	0
475	57	1
1450	7000	0
408	8989	0
866	331	1
1393	198	1
1387	2273	0
883	63	1
1409	3027	1
1551	8196	0
265	1836	0
406	60	1
800	3330	0
1018	134	1
499	177	0
631	127	1
686	2064	1
825	1659	0
894	77	1
493	52	1
679	52	1
1573	2054	1
633	343	1
1580	155	1
253	953	1
1135	22	1
1698	8978	0
1615	4155	0
317	956	1
432	8539	0
973	2780	1
346	659	1
569	8768	0
321	861	1
1071	413	1
717	1811	0
1817	127	1
1603	159	1
194	7975	0
306	4498	0
439	127	1
1678	0	0
147	2819	0
373	1608	1
1745	3697	1
1833	277	1
1360	1050	0
146	7165	0
577	2156	0
661	2232	1
132	7423	0
1137	5469	0
1462	5175	0
1389	3319	1
364	1322	1
756	74	0
1030	2869	1
1408	7112	0
883	39	1
630	500	1
1344	6868	0
703	445	1
791	7693	0
1779	418	1
1354	589	0
1502	100	0
587	87	1
1822	6212	0
195	1251	0
1222	117	1
56	2879	0
1823	7744	0
1413	892	0
1005	90	1
904	2681	1
870	2614	1
1005	2279	0
1636	2095	0
1848	5723	0
1510	357	1
405	4117	0
1560	3492	1
367	334	1
1309	2918	0
1430	7452	0
1745	799	1
1135	1461	1
913	356	1
1642	5564	0
1507	413	1
276	9137	0
613	314	1
1021	1099	0
292	545	1
852	7094	0
1170	66	1
1826	1442	1
110	5439	0
520	3361	0
328	79	1
1755	6051	0
825	7024	0
1243	130	1
1274	187	1
1446	196	1
395	196	1
87	681	1
899	2066	1
781	46	1
988	2989	0
116	817	1
69	5554	0
1636	1253	1
1219	1354	1
1402	8261	0
1699	65	0
1561	8159	0
1516	1479	1
1551	582	1
33	303	1
1065	1917	0
4	1191	0
1737	52	1
312	4738	0
737	1635	1
968	3121	0
492	7148	0
1760	6507	0
1863	366	1
299	3820	0
36	327	1
233	3864	0
1740	1231	1
236	1475	0
471	1833	1
807	1523	1
1154	1588	0
821	2852	0
1606	3955	0
1639	270	1
1516	3679	0
1132	3017	1
1263	1247	0
1270	1168	1
146	6019	0
405	238	1
343	5280	0
1171	165	1
1383	1104	1
561	2037	1
1601	8065	0
591	2098	1
690	2795	0
555	2013	1
1823	2757	0
1081	790	1
644	2031	1
596	1088	1
63	5080	0
1702	3654	1
867	127	1
776	72	0
11	5266	0
1022	1443	1
1849	79	1
1408	380	0
1263	1630	0
1263	8513	0
1108	228	1
455	46	1
1217	5617	0
102	545	1
810	80	1
1315	159	1
1102	2781	0
280	788	1
535	6859	0
1870	4619	0
494	2676	0
291	5436	0
1134	504	1
161	785	0
93	3965	0
101	736	1
855	314	1
1279	5161	0
1512	135	1
750	6613	0
894	6431	0
1542	1905	0
887	4840	0
1198	4156	0
868	295	1
1735	34	1
792	772	1
42	633	0
1062	216	1
1112	6187	0
276	372	0
1629	6664	0
379	55	1
1583	2142	0
1794	8411	0
1650	8770	0
1361	945	1
254	7498	0
1740	6819	0
1067	4033	0
808	435	1
1181	1776	1
339	1526	1
1507	8851	0
1474	2512	1
733	3481	0
995	22	1
466	254	1
1600	96	1
1831	1745	1
477	5709	0
1520	5823	0
1316	9312	0
89	8822	0
450	1803	1
467	135	1
293	1430	1
399	756	1
203	932	1
1209	3063	0
559	472	1
968	47	1
1854	6698	0
1259	6136	0
345	37	1
202	445	1
1262	206	1
598	8236	0
1756	314	1
974	791	0
1229	6841	0
855	574	1
1510	1517	1
1283	261	1
588	4926	0
1195	1396	1
202	7715	0
508	1146	1
1117	7265	0
1029	261	1
635	52	1
1364	2469	1
727	833	0
1633	6115	0
1041	5372	0
1713	8615	0
1379	16	1
1498	538	1
1689	1988	1
739	3222	0
102	739	1
1478	842	0
491	158	0
182	36	1
552	1681	0
1417	47	1
1094	22	1
158	1005	1
871	601	1
142	2388	0
1637	8145	0
624	325	1
688	3715	0
710	5747	0
1799	115	1
233	137	1
1395	8201	0
1839	135	1
690	1442	0
1830	2665	1
820	7623	0
1216	5741	0
27	293	0
1711	8785	0
1059	126	1
1842	1655	0
1504	5218	0
1694	4822	0
342	6077	0
1175	4688	0
71	133	1
907	9073	0
813	356	1
541	4650	0
910	55	1
58	61	1
1376	754	0
423	1743	1
1640	438	1
1683	1930	0
1817	2086	0
117	528	1
1433	5647	0
390	3935	0
745	7890	0
1711	1124	0
1338	7789	0
1563	8180	0
1351	8907	0
475	36	1
1859	523	1
1142	1647	0
909	2061	0
1440	3721	0
622	132	1
132	118	1
39	7749	0
161	55	1
1659	1502	1
1000	4	1
326	267	1
479	2470	0
362	232	1
1234	7041	0
1765	9207	0
574	88	0
1619	799	1
1728	96	1
27	115	1
174	1052	1
959	66	1
1345	1312	1
65	521	1
1392	285	1
829	1315	1
1650	3591	1
1197	7438	0
1741	9094	0
1830	36	1
1802	2409	0
1592	1906	0
399	2045	0
508	996	1
1828	1616	1
1286	9243	0
684	1397	1
403	302	1
1561	6193	0
599	1084	1
83	185	1
221	571	1
135	3403	0
1294	239	1
319	277	1
1834	2787	1
1329	5714	0
531	8548	0
942	2732	1
87	6773	0
32	8056	0
1136	4708	0
893	253	1
1434	835	1
1631	329	1
316	3690	0
625	6448	0
1510	356	1
1643	241	1
700	137	1
1181	6298	0
1726	8041	0
914	6215	0
1846	235	1
377	1517	1
442	1495	0
564	4144	0
1412	906	0
493	713	1
617	6015	0
800	1051	1
146	42	1
740	2380	1
1615	6518	0
563	2366	0
11	4899	0
1052	1615	0
251	1202	1
865	6028	0
929	6651	0
334	421	0
1235	4075	0
710	494	1
902	275	1
1776	235	1
690	8660	0
66	3654	0
597	3773	0
1489	4972	0
407	8859	0
1175	1612	0
117	1038	0
505	3411	0
1856	2058	1
1355	3808	0
1035	267	1
1457	7574	0
1855	1476	1
746	55	1
1066	899	1
754	46	1
1221	782	1
689	460	1
1059	36	1
988	4410	0
743	7128	0
756	511	0
407	2139	0
308	1185	1
1394	5130	0
86	672	1
439	5376	0
922	102	1
1617	1033	0
288	8917	0
1222	127	1
1291	2376	0
205	7674	0
1352	52	1
1150	1218	1
455	6484	0
635	32	1
1532	1428	0
1130	8620	0
1400	7460	0
1756	7099	0
1645	273	1
1079	5848	0
1180	1917	0
850	1722	1
926	1776	0
429	7220	0
1321	1651	1
1652	8238	0
1467	129	1
1074	4437	0
780	90	0
1814	1858	1
1581	8685	0
377	882	0
1333	209	1
731	3381	0
148	938	1
1812	5611	0
1086	221	1
770	8824	0
349	3853	0
1257	1459	0
1791	5940	0
907	2052	0
904	7975	0
718	22	1
935	804	0
104	2780	0
1297	302	1
146	3001	0
362	1591	1
644	1036	1
502	774	1
576	699	0
1577	8852	0
1652	7615	0
1168	7890	0
379	118	1
507	109	1
619	358	1
1373	777	1
933	7403	0
1380	6390	0
674	2257	1
1100	22	1
677	3982	0
1395	96	1
1174	8348	0
1667	5799	0
241	5047	0
1150	1496	1
310	7964	0
1766	827	1
1472	4000	0
1627	944	1
490	3186	0
1526	5309	0
1143	2669	0
1717	3666	1
863	2606	1
1769	5597	0
1193	2434	1
1157	1554	1
902	8164	0
949	3926	0
1358	133	1
1068	2091	0
20	229	1
737	5374	0
622	104	1
153	835	1
1416	293	1
11	3445	0
1539	40	1
1417	1120	0
394	538	1
429	3877	0
227	118	1
1451	6298	0
1194	117	1
71	1614	0
559	1194	0
745	4715	0
840	5773	0
891	3071	0
1151	407	1
866	7623	0
1075	134	1
128	1911	0
1859	2927	1
737	3932	0
1843	444	1
171	1044	1
1188	928	1
1310	2804	0
1263	2397	0
576	3729	0
1303	8365	0
47	187	1
182	56	1
1335	2083	1
294	136	1
1545	7761	0
91	87	1
322	376	1
791	3027	0
58	469	1
827	494	1
1008	197	1
1074	4414	0
1799	2035	0
995	353	1
38	349	1
230	1246	1
301	135	1
1200	52	1
1168	134	1
855	519	1
922	7502	0
1717	1324	1
891	4140	0
1796	803	1
730	384	0
735	3675	0
419	8369	0
11	4243	0
1407	8972	0
563	1234	1
754	433	1
1393	2030	1
1415	6301	0
1458	2234	1
716	8195	0
1724	7275	0
1567	735	1
304	8601	0
831	8487	0
79	635	1
1376	286	1
1662	3610	1
1304	96	1
128	373	1
191	199	1
1546	1528	1
1234	1248	1
1535	7181	0
1651	1539	0
42	4774	0
1436	2955	0
343	1545	1
1149	993	0
350	4	0
1341	224	1
281	244	0
1037	4161	0
1361	21	0
396	136	1
1870	4577	0
1232	1391	1
16	4432	0
352	36	1
238	345	1
1840	292	1
400	7017	0
826	8023	0
690	199	1
308	78	1
1835	1015	1
171	1043	1
1315	1862	0
804	2903	0
80	190	1
1378	3392	0
1008	2821	1
472	1841	1
399	242	1
169	7857	0
787	8765	0
982	5690	0
577	3390	0
1067	7442	0
37	8636	0
971	80	1
1626	254	1
1091	849	0
1348	476	0
1454	185	1
1567	7357	0
1495	133	1
159	2353	0
1321	5761	0
502	6100	0
980	4141	0
658	2225	1
306	1462	1
1698	132	1
631	6107	0
588	2088	1
1168	1678	0
1389	1395	1
1684	1106	0
62	5855	0
1471	6423	0
1339	9146	0
1482	2221	0
1220	267	1
1806	6812	0
1137	721	1
1265	109	1
326	78	1
662	47	1
1071	572	1
30	7224	0
484	442	1
205	1180	1
1014	4536	0
1782	2073	1
962	1944	1
11	132	1
985	9223	0
1330	221	1
1649	47	1
46	8826	0
788	4000	0
420	883	1
1019	515	0
944	807	1
1721	887	1
299	2013	0
1404	5590	0
263	6125	0
838	4227	0
663	254	1
1516	7260	0
639	258	1
455	55	1
1815	8967	0
828	141	1
1422	3257	1
554	632	1
20	6738	0
1311	2175	1
1112	597	0
240	2316	0
1550	4959	0
1083	1246	0
20	2821	0
405	2080	0
